Family,Genus,Species,Author,Date,Citation,Common Name,Home Range,Island? Y/N,Area of Homerange kmsq,Reference for Area,
Pteropodidae,Megaerops,kusnotoi,Hill & Boeadi,1978,Mammalia,Javan Tailless Fruit Bat,Indonesia,yes,,,
Pteropodidae,Megaerops,niphanae,Yenbutra & Felten,1983,Senckenberg. Biol.,Ratanaworabhan's Fruit Bat,Cambodia; India; Lao People's Democratic Republic; Thailand; Viet Nam,no,,,
Pteropodidae,Megaloglossus,azagnyi,"Nesi, Kadjo & Hassanin",2012,Molecular phylogenetics,Western Woermann's Fruit Bat,Côte d'Ivoire; Ghana; Guinea; Liberia; Sierra Leone; Togo,no,,,
Pteropodidae,Megaloglossus,woermanni,Pagenstecher,1885,Zool. Anz.,Woermann's Long-tongued Fruit Bat,"Angola; Cameroon; Central African Republic; Congo; Congo, The Democratic Republic of the; Côte d'Ivoire; Equatorial Guinea; Gabon; Ghana; Guinea; Liberia; Sierra Leone; Togo; Uganda",no,,,
Pteropodidae,Melonycteris,melanops,Dobson,1877,Proc. Zool. Soc. Lond.,Black-bellied Fruit Bat,Papua New Guinea,yes,,,
Pteropodidae,Melonycteris,fardoulisi,Flannery,1993,Rec. Aust. Mus.,Fardoulis' Blossom Bat,Solomon Islands,yes,,,
Pteropodidae,Melonycteris,woodfordi,Thomas,1887,Ann. Mag. Nat. Hist.,Woodford's Fruit Bat,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Micropteropus,intermedius,Hayman,1963,Publ. Cult. Comp. Diamantes Angola,Hayman's Lesser Epauletted Fruit Bat,Angola; Congo,no,,,
Pteropodidae,Micropteropus,pusillus,Peters,1868,Monatsb. K. Preuss. Akad. Wiss. Berlin,Peters' Lesser Epauletted Fruit Bat,"Angola; Benin; Burkina Faso; Cameroon; Central African Republic; Chad; Congo; Congo, The Democratic Republic of the; Côte d'Ivoire; Equatorial Guinea; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Liberia; Mali; Niger; Nigeria; Rwanda; Senegal; Sierra Leone; Sudan; Tanzania, United Republic of; Togo; Uganda",no,,,
Pteropodidae,Mirimiri,acrodonta,Hill & Beckon,1978,Bull. Br. Mus. Nat. Hist. Zool.,Fijian Monkey-faced Fruit Bat,Fiji,yes,,,
Pteropodidae,Myonycteris,angolensis,Bocage,1898,J. Sci. Math. Phys. Nat. Lisboa,Angolan Soft-furred Fruit Bat,Angola,no,,,
Pteropodidae,Myonycteris,leptodon,Andersen,1908,Ann. Mag. Nat. Hist.,Small-eared Collared Fruit Bat,Côte d'Ivoire; Ghana; Guinea; Liberia; Sierra Leone; Togo,no,,,
Pteropodidae,Myonycteris,relicta,Bergmans,1980,Zool. Meded. Rijksmus. Nat. Hist. Leiden,Bergmans's Collared Fruit Bat,"Kenya; Mozambique; Tanzania, United Republic of; Zimbabwe",no,,,
Pteropodidae,Myonycteris,torquata,Dobson,1878,Cat. Chiroptera Brit. Mus.,Little Collared Fruit Bat,"Angola; Cameroon; Central African Republic; Congo; Congo, The Democratic Republic of the; Equatorial Guinea (Bioko); Gabon; Rwanda; South Sudan; Uganda",no,,,
Pteropodidae,Myonycteris,brachycephala,Bocage,1889,J. Sci. Math. Phys. Nat. Lisboa,S&atilde;o Tom&eacute; Collared Fruit Bat,Sao Tome and Principe,yes,,,
Pteropodidae,Nanonycteris,veldkampii,Jentink,1888,Notes Leyden Mus.,Veldkamp's Dwarf Epauletted Fruit Bat,Benin; Cameroon; Central African Republic; Côte d'Ivoire; Ghana; Guinea; Liberia; Nigeria; Sierra Leone; Togo,no,,,
Pteropodidae,Neopteryx,frosti,Hayman,1946,Ann. Mag. Nat. Hist.,Small-toothed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Notopteris,macdonaldii,Gray,1859,Proc. Zool. Soc. Lond.,Fijian Long-tailed Fruit Bat,Fiji; Vanuatu,yes,,,
Pteropodidae,Notopteris,neocaledonicus,Trouessart,1908,"Bull. Mus. Hist. Nat., Paris",New Caledonia Long-tailed Fruit Bat,New Caledonia,yes,,,
Pteropodidae,Nyctimene,aello,Thomas,1900,Ann. Mag. Nat. Hist.,Broad-striped Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,albiventer,Gray,1863,Proc. Zool. Soc. Lond.,Common Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,cephalotes,Pallas,1767,Spicil. Zool.,Pallas' Tube-nosed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Nyctimene,certans,K. Andersen,1912,Ann. Mag. Nat. Hist.,Mountain Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,cyclotis,K. Andersen,1910,Ann. Mag. Nat. Hist.,Round-eared Tube-nosed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Nyctimene,draconilla,Thomas,1922,Nova Guinea,Dragon Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,keasti,"Kitchener <i>in</i> Kitchener, Packer, and Maryanto",1993,Rec. West. Aust. Mus.,Keast's Tube-nosed Fruit Bat,Indonesia; Timor-Leste,yes,,,
Pteropodidae,Nyctimene,major,Dobson,1877,Proc. Zool. Soc. Lond.,Island Tube-nosed Fruit Bat,Papua New Guinea; Solomon Islands,yes,,,
Pteropodidae,Nyctimene,malaitensis,Phillips,1968,Univ. Kansas Publ. Mus. Nat. Hist.,Malaita Tube-nosed Fruit Bat,Solomon Islands,yes,,,
Pteropodidae,Nyctimene,masalai,Smith & Hood,1983,Occas. Pap. Mus. Texas Tech Univ.,Demonic Tube-nosed Fruit Bat,Papua New Guinea,yes,,,
Pteropodidae,Nyctimene,minutus,K. Andersen,1910,Ann. Mag. Nat. Hist.,Lesser Tube-nosed Fruit Bat,Indonesia,yes,,,
Pteropodidae,Nyctimene,rabori,Heaney & Peterson,1984,Occas. Pap. Mus. Zool. Univ. Michigan,Philippine Tube-nosed Fruit Bat,Philippines,yes,,,
Pteropodidae,Nyctimene,robinsoni,Thomas,1904,Ann. Mag. Nat. Hist.,Queensland Tube-nosed Fruit Bat,Australia,no,,,
Pteropodidae,Nyctimene,sanctacrucis,Troughton,1931,Proc. Linn. Soc. N.S.W.,Nendo Tube-nosed Fruit Bat,Solomon Islands,yes,,,
Pteropodidae,Nyctimene,vizcaccia,Thomas,1914,Ann. Mag. Nat. Hist.,Umboi Tube-nosed Fruit Bat,"Papua New Guinea (North Solomons, Bismarck Archipelago); Solomon Islands",yes,,,
Pteropodidae,Nyctimene,wrightae,Irwin,2017,Rec. Aust. Mus.,Wright's Happy Tube-nosed Fruit Bat,,yes,,,
Pteropodidae,Otopteropus,cartilagonodus,Kock,1969,Senckenberg. Biol.,Luzon Fruit Bat,Philippines,yes,,,
Pteropodidae,Paranyctimene,raptor,Tate,1942,Am. Mus. Novitates,Unstriped Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Paranyctimene,tenax,Bergmans,2001,Beaufortia,Steadfast Tube-nosed Fruit Bat,Indonesia; Papua New Guinea,yes,,,
Pteropodidae,Penthetor,lucasi,Dobson,1880,Ann. Mag. Nat. Hist.,Lucas' Short-nosed Fruit Bat,Brunei Darussalam; Indonesia; Malaysia,yes,,,
Pteropodidae,Plerotes,anchietae,Seabra,1900,J. Sci. Math. Phys. Nat. Lisboa,Anchieta's Broad-faced Fruit Bat,"Angola; Congo, The Democratic Republic of the; Malawi; Zambia",no,,,
Pteropodidae,Ptenochirus,jagorii,Peters,1861,Monatsb. K. Preuss. Akad. Wiss. Berlin,Greater Musky Fruit Bat,Philippines,yes,,,
Pteropodidae,Ptenochirus,minor,Yoshiyuki,1979,"Bull. Natl. Sci. Mus. Tokyo, Ser. A (Zool.)",Lesser Musky Fruit Bat,"Philippines, Mindanao,",yes,,,
Pteropodidae,Ptenochirus,wetmorei,Taylor,1934,Monogr. Bur. Sci. Manila,Mindanao Fruit Bat,Philipinnes,yes,,,
Pteropodidae,Pteralopex,anceps,K. Andersen,1909,Ann. Mag. Nat. Hist.,Bougainville Monkey-faced Fruit Bat,"Papua New Guinea, Bougainville Isl.",yes,,,
Pteropodidae,Pteralopex,atrata,Thomas,1888,Ann. Mag. Nat. Hist.,Guadalcanal Monkey-faced Fruit Bat,"Solomon Isls, Guadalcanal, Aola",yes,,,
