Order,Family,Genus,Species,Binomial,Sex,AdultBodyMass_g,Sample_size_bodyMass,reference_bodymass,MaxLongevity_m,Adult_tibia_length_m,sample_size_tibia,reference.tibia,Adult_ear_length_mm,sample_size_ear,reference.ear.length,Adult_forearm_length_mm,sample_size_forearm,reference.forearm
Chiroptera,Pteropodidae,Myonycteris,leptodon,Myonycteris leptodon,M,35.6,33,Thansi et al. 2019,NA,26,10,Bergmans 1976,17.7,22,Bergmans 1976,61.2,37,Bergmans 1976
Chiroptera,Pteropodidae,Notopteris,neocaledonicus,Notopteris neocaledonicus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Notopteris,neocaledonicus,Notopteris neocaledonicus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,aello,Nyctimene aello,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,aello,Nyctimene aello,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Nyctimene,albiventer,Nyctimene albiventer,F,28.2,18,Bartholomew et al. 1970,NA,NA,NA,NA,12.7,6,Kitchener et al. 1993,51.2,6,Kitchener et al. 1993
Chiroptera,Pteropodidae,Nyctimene,albiventer,Nyctimene albiventer,M,28.2,18,Bartholomew et al. 1970,NA,NA,NA,NA,12.7,6,Kitchener et al. 1993,51.2,6,Kitchener et al. 1993
Chiroptera,Pteropodidae,Pteropus,dasymallus,Pteropus dasymallus,F,461.5,2,Nakamoto et al. 2012,NA,NA,NA,NA,NA,NA,NA,134.85,2,Nakamoto et al. 2012
Chiroptera,Pteropodidae,Pteropus,dasymallus,Pteropus dasymallus,M,449.5555556,9,Nakamoto et al. 2012,NA,62.5,1,Kuroda 1933,22.5,1,Kuroda 1933,137.0777778,9,Nakamoto et al. 2012
Chiroptera,Pteropodidae,Pteropus,ennisae,Pteropus ennisae,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,ennisae,Pteropus ennisae,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,faunulus,Pteropus faunulus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,faunulus,Pteropus faunulus,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiroptera,Pteropodidae,Pteropus,fundatus,Pteropus fundatus,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5,21,Helgen et al. 2009
