"roost_site","latitude_s","longitude_e","researchers_present","collection_date","net_night","bat_species","sampleid"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Hipposideros commersoni","HIP5"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Hipposideros commersoni","HIP6"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU17"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU18"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU19"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU20"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU21"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU22"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU23"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU24"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU25"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU26"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU27"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU28"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU29"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/2/2014","2","Rousettus madagascariensis","ROU30"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","2","Eidolon dupreanum","AND14"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","2","Eidolon dupreanum","AND16"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","2","Eidolon dupreanum","AND17"
"Ankarana_Canyon","-12.9435","49.0555","CB, CR, YL","8/3/2014","2","Eidolon dupreanum","AND18"
